Early Voting Locations,Total,10/24/22,10/25/22,10/26/22,10/27/22,10/28/22,10/29/22,10/30/22,10/31/22,11/01/22,11/02/22,11/03/22,11/04/22,*11/08/22
Grey Forest Community Center,332,0,0,0,0,0,0,0,0,0,0,0,0,332
Guerra Branch Library,0,0,0,0,0,0,0,0,0,0,0,0,0
Gus Garcia University School,190,0,0,0,0,0,0,0,0,0,0,0,0,190
Harmony Elementary School,0,0,0,0,0,0,0,0,0,0,0,0,0
Harmony Hills Elementary,433,0,0,0,0,0,0,0,0,0,0,0,0,433
Harry H. Rogers Middle School,388,0,0,0,0,0,0,0,0,0,0,0,0,388
Hartman Center II - Building,549,0,0,0,0,0,0,0,0,0,0,0,0,549
Hatchett Elementary School,617,0,0,0,0,0,0,0,0,0,0,0,0,617
Hardy Oak Elementary School,692,0,0,0,0,0,0,0,0,0,0,0,0,692
Health Careers High School,599,0,0,0,0,0,0,0,0,0,0,0,0,599
Hector Garcia Middle School,347,0,0,0,0,0,0,0,0,0,0,0,0,347
Helotes City Hall,1086,0,0,0,0,0,0,0,0,0,0,0,0,1086
Helotes Elementary School,482,0,0,0,0,0,0,0,0,0,0,0,0,482
Henderson Elementary School,886,0,0,0,0,0,0,0,0,0,0,0,0,886
Henry Wadsworth Longfellow,197,0,0,0,0,0,0,0,0,0,0,0,0,197
Henry A. Guerra Jr. Library,6367,694,608,556,544,549,337,170,403,440,461,617,988,0
Herman Hirsch Elementary,236,0,0,0,0,0,0,0,0,0,0,0,0,236
Hidden Cove Steam Academy,106,0,0,0,0,0,0,0,0,0,0,0,0,106
Hidden Forest Elementary,325,0,0,0,0,0,0,0,0,0,0,0,0,325
Highland Hills Elementary,275,0,0,0,0,0,0,0,0,0,0,0,0,275
Highlands High School,148,0,0,0,0,0,0,0,0,0,0,0,0,148
Hill Country Retreat,593,0,0,0,0,0,0,0,0,0,0,0,0,593
Hill Country Village City Hall,219,0,0,0,0,0,0,0,0,0,0,0,0,219
Hill Middle School,312,0,0,0,0,0,0,0,0,0,0,0,0,312
Hollywood Park City Hall,675,0,0,0,0,0,0,0,0,0,0,0,0,675
Hope Church,656,0,0,0,0,0,0,0,0,0,0,0,0,656
Howard Early Childhood Center,155,0,0,0,0,0,0,0,0,0,0,0,0,155
Huebner Elementary School,843,0,0,0,0,0,0,0,0,0,0,0,0,843
Huisache Avenue Baptist Church,192,0,0,0,0,0,0,0,0,0,0,0,0,192
