Early Voting Locations,Total,05/24/21,05/25/21,05/26/21,05/27/21,05/28/21,05/29/21,06/01/21,*06/05/21
Steubing Ranch Elementary,0,0,0,0,0,0,0,0,0
Stevenson Middle School,244,0,0,0,0,0,0,0,0,244
Stone Oak Elementary School,115,0,0,0,0,0,0,0,0,115
Sul Ross Middle School,0,0,0,0,0,0,0,0,0
Sydney Lanier High School,14,0,0,0,0,0,0,0,14
Taft High School,0,0,0,0,0,0,0,0,0
Takas Park,0,0,0,0,0,0,0,0,0
Tejeda Middle School,68,0,0,0,0,0,0,0,68
Terrell Hills City Hall,0,0,0,0,0,0,0,0,0
Texas A&M University San Antonio,0,0,0,0,0,0,0,0,0
Thomas Edison High School,65,0,0,0,0,0,0,0,65
Thornton Elementary School,0,0,0,0,0,0,0,0,0
Thousand Oaks Elementary,0,0,0,0,0,0,0,0,0
Thousand Oaks Library,0,0,0,0,0,0,0,0,0
Timberhill Villa Retirement,0,0,0,0,0,0,0,0,0
Timberwood Park Elementary,0,0,0,0,0,0,0,0,0
Tobin Branch Library @ Oakwell,705,61,97,77,79,81,86,129,95
Travis Early College High School,0,0,0,0,0,0,0,0,0
Trinity United Methodist Church,97,0,0,0,0,0,0,0,97
Tuscany Heights Elementary,0,0,0,0,0,0,0,0,0
Universal City Hall,0,0,0,0,0,0,0,0,0
Universal City Library,0,0,0,0,0,0,0,0,0
University Of Texas At San Antonio,0,0,0,0,0,0,0,0,0
Vale Middle School,140,0,0,0,0,0,0,0,0,140
Valley Hi Elementary School,0,0,0,0,0,0,0,0,0
Van Raub Elementary School,0,0,0,0,0,0,0,0,0
Veterans Memorial High School,0,0,0,0,0,0,0,0,0
Vestal Elementary School,24,0,0,0,0,0,0,0,24
Villarreal Elementary School,126,0,0,0,0,0,0,0,0,126
Vineyard Ranch Elementary,377,0,0,0,0,0,0,0,0,377
Von Ormy Municipal Building,0,0,0,0,0,0,0,0,0
Wanke Elementary School,0,0,0,0,0,0,0,0,0
Ward Elementary School,0,0,0,0,0,0,0,0,0
Westfall Branch Library,114,0,0,0,0,0,0,0,0,114
Westminster Square Manor,67,0,0,0,0,0,0,0,0,67
Westwood Terrace Elementary,112,0,0,0,0,0,0,0,0,112
Wetmore Elementary School,0,0,0,0,0,0,0,0,0
Wilshire Elementary School,27,0,0,0,0,0,0,0,0,27
Windcrest Takas Park,0,0,0,0,0,0,0,0,0
Wonderland Mall of the Americas,1476,129,175,176,152,207,234,279,124
Woodlake Hills Middle School,0,0,0,0,0,0,0,0,0
Woodlawn Academy,234,0,0,0,0,0,0,0,0,234
Woodlawn Hills Elementary,80,0,0,0,0,0,0,0,0,80
Woodridge Elementary School,0,0,0,0,0,0,0,0,0
Woods Of Shavano Community Club,0,0,0,0,0,0,0,0,0
Woodstone Elementary Science,0,0,0,0,0,0,0,0,0
Wortham Oaks Elementary,0,0,0,0,0,0,0,0,0
Wright Elementary School,34,0,0,0,0,0,0,0,34
Young Mens Leadership Academy,21,0,0,0,0,0,0,0,0,21
Total in Person,32399,3308,3700,3418,3142,3600,3457,4601,7173
