Early Voting Locations,Total,04/19/21,04/20/21,04/21/21,04/22/21,04/23/21,04/24/21,04/26/21,04/27/21,*05/01/21
Leon Springs Elementary School,292,0,0,0,0,0,0,0,0,292
Lewis Elementary School,237,0,0,0,0,0,0,0,0,237
Lieck Elementary School,0,0,0,0,0,0,0,0,0,0
Linton Elementary School,72,0,0,0,0,0,0,0,0,72
Lion's Field Adult and Senior Center,5621,448,467,487,487,514,565,860,1095,698
Living Church at Woodlawn,174,0,0,0,0,0,0,0,0,174
Loma Park Elementary School,0,0,0,0,0,0,0,0,0,0
Longs Creek Elementary School,184,0,0,0,0,0,0,0,0,184
Lopez Middle School,205,0,0,0,0,0,0,0,0,205
Luther Burbank High School,43,0,0,0,0,0,0,0,0,43
Madison High School,0,0,0,0,0,0,0,0,0,0
Marin B. Fenwick Academy,118,0,0,0,0,0,0,0,0,118
Martin Luther King Jr. Academy,32,0,0,0,0,0,0,0,0,32
Mary Hull Elementary School,0,0,0,0,0,0,0,0,0,0
Maury Maverick Jr. Library,6127,444,485,576,556,657,717,888,998,806
May Elementary School,132,0,0,0,0,0,0,0,0,132
McCreless Branch Library,4093,180,273,230,236,335,398,583,929,929
Mead Elementary School,143,0,0,0,0,0,0,0,0,143
Meadow Village Elementary School,71,0,0,0,0,0,0,0,0,71
Meadowcliff Recreation Center,0,0,0,0,0,0,0,0,0,0
Memorial Branch Library,547,0,0,0,0,0,0,0,0,547
Metzger Middle School,56,0,0,0,0,0,0,0,0,56
Michael Elementary School,0,0,0,0,0,0,0,0,0,0
Miguel Carrillo Jr. Elementary School,77,0,0,0,0,0,0,0,0,77
Millers Point Elementary School,39,0,0,0,0,0,0,0,0,39
Mireles Elementary School,0,0,0,0,0,0,0,0,0,0
Mirabeau B. Lamar Elementary School,150,0,0,0,0,0,0,0,0,150
Mission Academy,209,0,0,0,0,0,0,0,0,209
Mission Branch Library,3719,215,279,258,253,269,466,533,836,610
Mission Del Lago Community Center,138,0,0,0,0,0,0,0,0,138
Montgomery Elementary School,0,0,0,0,0,0,0,0,0,0
Mora Elementary School,0,0,0,0,0,0,0,0,0,0
Mount Calvary Lutheran Evangelical Church,291,0,0,0,0,0,0,0,0,291
Murnin Elementary School,166,0,0,0,0,0,0,0,0,166
Myers Elementary School,130,0,0,0,0,0,0,0,0,130
Neff Middle School,117,0,0,0,0,0,0,0,0,117
Nichols Elementary School,240,0,0,0,0,0,0,0,0,240
