Early Voting Locations,Total,10/21/24,10/22/24,10/23/24,10/24/24,10/25/24,10/26/24,10/27/24,10/28/24,10/29/24,10/30/24,10/31/24,11/01/24,*11/05/24
Kingsborough Middle School,331,0,0,0,0,0,0,0,0,0,0,0,0,331
Kirby City Hall,8341,934,738,716,715,874,652,367,712,678,615,566,955,939
KitTY Hawk Middle School,592,0,0,0,0,0,0,0,0,0,0,0,0,592
Knowlton Elementary School,457,0,0,0,0,0,0,0,0,0,0,0,0,457
Krueger Elementary School,712,0,0,0,0,0,0,0,0,0,0,0,0,712
Krueger Middle School,396,0,0,0,0,0,0,0,0,0,0,0,0,396
Langley Elementary School,1146,0,0,0,0,0,0,0,0,0,0,0,0,1146
Larkspur Elementary School,321,0,0,0,0,0,0,0,0,0,0,0,0,321
Las Lomas Elementary School,446,0,0,0,0,0,0,0,0,0,0,0,0,446
Laurel Heights United Methodist Church,326,0,0,0,0,0,0,0,0,0,0,0,0,326
Leon Springs Elementary School,685,0,0,0,0,0,0,0,0,0,0,0,0,685
Leon Valley Conference Center,13763,1270,1311,1326,1260,1327,1327,719,1513,1442,1366,1275,1615,972
Lewis Elementary School,603,0,0,0,0,0,0,0,0,0,0,0,0,603
Lions Field Adult and Senior Center,11654,998,1053,1155,1120,1119,1168,605,1350,1333,1311,1155,1310,877
Longs Creek Elementary School,492,0,0,0,0,0,0,0,0,0,0,0,0,492
Lopez Middle School,678,0,0,0,0,0,0,0,0,0,0,0,0,678
Luckey Ranch Elementary School,869,0,0,0,0,0,0,0,0,0,0,0,0,869
Luther Burbank High School,176,0,0,0,0,0,0,0,0,0,0,0,0,176
Macedonia Baptist Church,4160,230,381,458,491,547,386,216,488,432,306,301,610,322
Madison High School,259,0,0,0,0,0,0,0,0,0,0,0,0,259
Marin B. Fenwick Academy,241,0,0,0,0,0,0,0,0,0,0,0,0,241
Martin Luther King Jr. Academy for Arts Integration,137,0,0,0,0,0,0,0,0,0,0,0,0,137
Maverick Branch Library,14511,1276,1409,1377,1419,1418,1551,847,1487,1379,1443,1317,1720,868
May Elementary School,517,0,0,0,0,0,0,0,0,0,0,0,0,517
McDermott Elementary School,514,0,0,0,0,0,0,0,0,0,0,0,0,514
McCreless Branch Library,10687,1022,1012,1020,1027,1060,1003,511,1120,1057,1061,979,1216,659
Mead Elementary School,602,0,0,0,0,0,0,0,0,0,0,0,0,602
Meadow Village Elementary School,424,0,0,0,0,0,0,0,0,0,0,0,0,424
Memorial Library,8189,662,758,787,791,792,750,348,792,783,762,726,943,856
Metzger Middle School,684,0,0,0,0,0,0,0,0,0,0,0,0,684
Michael Elementary School,843,0,0,0,0,0,0,0,0,0,0,0,0,843
Miguel Carrillo, Jr. Elementary School,282,0,0,0,0,0,0,0,0,0,0,0,0,282
Millers Point Elementary School,506,0,0,0,0,0,0,0,0,0,0,0,0,506
Mirabeau B. Lamar Elementary School,271,0,0,0,0,0,0,0,0,0,0,0,0,271
Mireles Elementary School,730,0,0,0,0,0,0,0,0,0,0,0,0,730
Mission Academy,446,0,0,0,0,0,0,0,0,0,0,0,0,446
Mission Branch Library,8768,810,930,885,827,873,712,389,781,791,744,712,1017,897
Mission Del Lago Community Center,618,0,0,0,0,0,0,0,0,0,0,0,0,618
Montgomery Elementary School,576,0,0,0,0,0,0,0,0,0,0,0,0,576
Mora Elementary School,640,0,0,0,0,0,0,0,0,0,0,0,0,640
Morgan's Wonderland,170,0,0,0,0,0,0,0,0,0,0,0,0,170
Morrill Elementary School,131,0,0,0,0,0,0,0,0,0,0,0,0,131
Most Harlandale ISD Transportation,81,0,0,0,0,0,0,0,0,0,0,0,0,81
Mount Calvary Lutheran Evangelical Church,425,0,0,0,0,0,0,0,0,0,0,0,0,425
Murnin Elementary School,528,0,0,0,0,0,0,0,0,0,0,0,0,528
Myers Elementary School,351,0,0,0,0,0,0,0,0,0,0,0,0,351
Neff Middle School,351,0,0,0,0,0,0,0,0,0,0,0,0,351
Nichols Elementary School,506,0,0,0,0,0,0,0,0,0,0,0,0,506
Nimitz Middle School,314,0,0,0,0,0,0,0,0,0,0,0,0,314
Northeast Lakeview College,6760,611,553,629,609,669,543,343,633,632,608,516,731,586
Northern Hills Elementary School,575,0,0,0,0,0,0,0,0,0,0,0,0,575
Northside Activity Center,9339,795,794,850,813,863,923,487,905,898,1016,820,993,982
Northwest Church of Christ,293,0,0,0,0,0,0,0,0,0,0,0,0,293
Northwest Crossing Elementary School,314,0,0,0,0,0,0,0,0,0,0,0,0,314
Northwest Vista College,22998,2000,1954,1938,1908,1931,2010,1076,1990,2157,2217,1885,2689,1343
Northwood Elementary School,380,0,0,0,0,0,0,0,0,0,0,0,0,380
Oak Grove Elementary School,257,0,0,0,0,0,0,0,0,0,0,0,0,257
Oak Hills Terrace Elementary School,289,0,0,0,0,0,0,0,0,0,0,0,0,289
Oak Meadow United Methodist Church,377,0,0,0,0,0,0,0,0,0,0,0,0,377
Olmos Elementary School,401,0,0,0,0,0,0,0,0,0,0,0,0,401
Opportunity Home San Antonio,373,0,0,0,0,0,0,0,0,0,0,0,0,373
Ott Elementary School,616,0,0,0,0,0,0,0,0,0,0,0,0,616
Our Lady of the Lake University,6164,629,598,477,499,602,456,242,462,437,447,379,710,678
Palo Alto College,4524,448,430,420,439,414,414,235,390,321,364,299,571,777
Park Village Blended Learning Academy,460,0,0,0,0,0,0,0,0,0,0,0,0,460
Parman Branch Library at Stone Oak,15216,1354,1411,1401,1373,1445,1644,963,1746,1711,1764,1686,1854,924
Paschall Elementary School,650,0,0,0,0,0,0,0,0,0,0,0,0,580
Pease Middle School,719,0,0,0,0,0,0,0,0,0,0,0,0,719
Pecan Valley Elementary School,375,0,0,0,0,0,0,0,0,0,0,0,0,375
Perales Steam Elementary School,204,0,0,0,0,0,0,0,0,0,0,0,0,204
Powell Elementary School,410,0,0,0,0,0,0,0,0,0,0,0,0,410
Pre-K Academy @ West Avenue,493,0,0,0,0,0,0,0,0,0,0,0,0,493
Precinct 1 Satellite Office,6806,817,689,600,594,625,360,149,520,482,473,502,892,878
Precinct 3 Satellite Office,10520,897,998,1017,954,973,963,553,1178,1184,1130,998,1208,465
Raba Elementary School,546,0,0,0,0,0,0,0,0,0,0,0,0,546
Ramirez Community Center,191,0,0,0,0,0,0,0,0,0,0,0,0,191
Rawlinson Middle School,562,0,0,0,0,0,0,0,0,0,0,0,0,562
Rayburn Elementary School,261,0,0,0,0,0,0,0,0,0,0,0,0,261
Redland Oaks Elementary School,622,0,0,0,0,0,0,0,0,0,0,0,0,622
Regency Place Elementary School,377,0,0,0,0,0,0,0,0,0,0,0,0,377
Rhodes Elementary School,467,0,0,0,0,0,0,0,0,0,0,0,0,467
Ridgeview Elementary School,588,0,0,0,0,0,0,0,0,0,0,0,0,588
Riverside Park Elementary School,258,0,0,0,0,0,0,0,0,0,0,0,0,258
Roan Forest Elementary School,523,0,0,0,0,0,0,0,0,0,0,0,0,523
Royal Ridge Elementary School,412,0,0,0,0,0,0,0,0,0,0,0,0,412
Rudder Middle School,558,0,0,0,0,0,0,0,0,0,0,0,0,558
S.J. Davis Middle School,110,0,0,0,0,0,0,0,0,0,0,0,0,110
Sac Victory Center,7491,784,752,832,906,874,675,432,876,896,871,697,976,796
Sam Houston High School,250,0,0,0,0,0,0,0,0,0,0,0,0,250
Samuel A. Maverick Elementary School,288,0,0,0,0,0,0,0,0,0,0,0,0,288
San Antonio M.U.D. #1,211,0,0,0,0,0,0,0,0,0,0,0,0,211
San Antonio Shrine Auditorium,494,0,0,0,0,0,0,0,0,0,0,0,0,494
Sarah King Elementary School,365,0,0,0,0,0,0,0,0,0,0,0,0,365
Scarborough Elementary School,934,0,0,0,0,0,0,0,0,0,0,0,0,934
Schaefer Branch Library,6986,833,856,761,729,735,678,403,624,564,512,494,801,976
Scobee Elementary School,439,0,0,0,0,0,0,0,0,0,0,0,0,439
Semmes Branch Library,18350,1513,1559,1631,1700,1709,1771,988,1925,1922,1800,1699,2057,1115
Shavano Park City Hall,14015,1184,1332,1149,1325,1317,1291,700,1410,1377,1538,1194,1323,684
Shepherd King Lutheran Church,336,0,0,0,0,0,0,0,0,0,0,0,0,336
Sidney Lanier High School,324,0,0,0,0,0,0,0,0,0,0,0,0,324
Sky Harbour Elementary School,400,0,0,0,0,0,0,0,0,0,0,0,0,400
Smith Elementary School,192,0,0,0,0,0,0,0,0,0,0,0,0,192
Somerset City Hall,3994,548,415,376,362,388,303,135,295,296,289,234,480,692
South San Antonio High School,360,0,0,0,0,0,0,0,0,0,0,0,0,360
Southside ISD Admin Building,3694,472,451,340,358,340,307,169,310,255,257,275,496,717
Southwest High School,757,0,0,0,0,0,0,0,0,0,0,0,0,757
Spicewood Park Elementary School,117,0,0,0,0,0,0,0,0,0,0,0,0,117
Spring Meadows Elementary School,523,0,0,0,0,0,0,0,0,0,0,0,0,523
St Hedwig City Hall,3691,398,355,336,394,457,351,168,393,298,275,271,498,529
St. James Catholic Church,293,0,0,0,0,0,0,0,0,0,0,0,0,293
St. Leo Catholic Church (Hall),287,0,0,0,0,0,0,0,0,0,0,0,0,287
St. Philip of Jesus Catholic Church,157,0,0,0,0,0,0,0,0,0,0,0,0,157
St. Phillips College,401,352,346,331,357,337,284,151,348,342,328,252,457,319
Stafford Elementary Visual Performing Arts,310,0,0,0,0,0,0,0,0,0,0,0,0,310
Stahl Elementary School,583,0,0,0,0,0,0,0,0,0,0,0,0,583
Steubing Ranch Elementary School,361,0,0,0,0,0,0,0,0,0,0,0,0,361
Stevenson Middle School,460,0,0,0,0,0,0,0,0,0,0,0,0,460
