Early Voting Locations,Total,04/22/24,04/23/24,04/24/24,04/25/24,04/26/24,04/27/24,04/28/24,04/29/24,*05/03/25
Meadow Village Elementary School,50,0,0,0,0,0,0,0,0,50
Memorial Branch Library,1997,138,161,155,168,129,76,306,493,371
Metzger Middle School,43,0,0,0,0,0,0,0,0,43
Michael Elementary School,26,0,0,0,0,0,0,0,0,26
Millers Point Elementary School,34,0,0,0,0,0,0,0,0,34
Mireles Elementary School,73,0,0,0,0,0,0,0,0,73
Mission Academy,143,0,0,0,0,0,0,0,0,143
Mission Branch Library,2284,163,193,162,166,168,95,288,544,505
Mission Del Lago Community Center,85,0,0,0,0,0,0,0,0,85
Montgomery Elementary School,44,0,0,0,0,0,0,0,0,44
Mount Calvary Lutheran Evangelical Church,201,0,0,0,0,0,0,0,0,201
Murnin Elementary School,150,0,0,0,0,0,0,0,0,150
Neff Middle School,65,0,0,0,0,0,0,0,0,65
Nichols Elementary School,129,0,0,0,0,0,0,0,0,129
Nimitz Middle School,99,0,0,0,0,0,0,0,0,99
Northeast Lakeview College,413,36,37,32,48,32,1,49,85,93
Northern Hills Elementary School,140,0,0,0,0,0,0,0,0,140
Northside Activity Center,1857,130,128,171,171,131,66,258,451,351
Northwest Church of Christ,40,0,0,0,0,0,0,0,0,40
Northwest Crossing Elementary School,97,0,0,0,0,0,0,0,0,97
Northwest Vista College,1301,80,93,88,93,116,51,183,329,268
Northwood Elementary School,254,0,0,0,0,0,0,0,0,254
Oak Grove Elementary School,52,0,0,0,0,0,0,0,0,52
Oak Hills Terrace Elementary School,72,0,0,0,0,0,0,0,0,72
Oak Meadow United Methodist Church,263,0,0,0,0,0,0,0,0,263
Ott Elementary School,37,0,0,0,0,0,0,0,0,37
Our Lady of the Lake University,1091,97,92,98,89,77,44,180,232,182
Palo Alto College,434,27,38,28,32,42,24,57,112,74
Park Village Blended Learning Academy,70,0,0,0,0,0,0,0,0,70
Parman Branch Library @ Stone Oak,3296,208,265,273,351,269,192,477,641,620
